,level,fly,bf
675,0.603,0.619,0.413
676,0.556,0.556,0.413
677,0.683,0.556,0.476
678,0.619,0.476,0.444
679,0.587,0.54,0.444
680,0.651,0.603,0.476
681,0.698,0.587,0.524
682,0.603,0.476,0.492
683,0.651,0.556,0.46
684,0.635,0.587,0.444
685,0.698,0.587,0.397
686,0.587,0.683,0.524
687,0.683,0.556,0.46
688,0.587,0.476,0.508
689,0.651,0.603,0.492
690,0.667,0.587,0.524
691,0.571,0.587,0.524
692,0.667,0.54,0.556
693,0.683,0.619,0.397
694,0.635,0.587,0.476
695,0.619,0.651,0.492
696,0.603,0.508,0.444
697,0.635,0.54,0.492
698,0.571,0.571,0.524
699,0.619,0.46,0.429
700,0.619,0.651,0.492
701,0.603,0.476,0.492
702,0.635,0.619,0.54
703,0.587,0.556,0.444
704,0.698,0.587,0.476
705,0.746,0.524,0.476
706,0.651,0.635,0.444
707,0.603,0.587,0.508
708,0.651,0.524,0.524
709,0.667,0.54,0.476
710,0.635,0.524,0.381
711,0.524,0.619,0.476
712,0.619,0.651,0.429
713,0.603,0.508,0.492
714,0.508,0.508,0.381
715,0.603,0.571,0.476
716,0.603,0.524,0.556
717,0.603,0.603,0.46
718,0.524,0.492,0.397
719,0.508,0.556,0.524
720,0.603,0.556,0.444
721,0.714,0.571,0.46
722,0.587,0.571,0.476
723,0.635,0.619,0.476
724,0.603,0.603,0.492
725,0.587,0.587,0.381
726,0.635,0.556,0.492
727,0.635,0.683,0.492
728,0.635,0.619,0.476
729,0.619,0.571,0.413
730,0.603,0.508,0.444
731,0.603,0.603,0.476
732,0.667,0.524,0.492
733,0.571,0.667,0.476
734,0.587,0.571,0.413
735,0.635,0.508,0.397
736,0.587,0.54,0.429
737,0.683,0.444,0.492
738,0.73,0.587,0.429
739,0.651,0.524,0.476
740,0.698,0.698,0.524
741,0.651,0.603,0.508
742,0.667,0.476,0.381
743,0.587,0.524,0.492
744,0.508,0.571,0.444
745,0.651,0.603,0.476
746,0.619,0.587,0.476
747,0.587,0.46,0.413
748,0.571,0.651,0.524
749,0.603,0.619,0.508
750,0.571,0.667,0.429
751,0.651,0.619,0.397
752,0.508,0.571,0.429
753,0.603,0.587,0.492
754,0.587,0.635,0.397
755,0.635,0.603,0.508
756,0.603,0.524,0.492
757,0.73,0.619,0.54
758,0.714,0.571,0.476
759,0.698,0.619,0.508
760,0.381,0.619,0.524
761,0.587,0.556,0.397
762,0.651,0.619,0.476
763,0.714,0.603,0.444
764,0.635,0.619,0.54
765,0.571,0.54,0.476
766,0.603,0.587,0.444
767,0.667,0.571,0.397
768,0.635,0.571,0.476
769,0.619,0.508,0.444
770,0.683,0.619,0.444
771,0.571,0.54,0.429
772,0.619,0.524,0.429
773,0.619,0.619,0.524
774,0.667,0.651,0.476
775,0.508,0.603,0.524
776,0.587,0.571,0.556
777,0.651,0.603,0.587
778,0.635,0.508,0.476
779,0.619,0.476,0.46
780,0.571,0.54,0.397
781,0.587,0.444,0.397
782,0.587,0.571,0.524
783,0.603,0.603,0.397
784,0.746,0.54,0.413
785,0.667,0.603,0.444
786,0.619,0.651,0.492
787,0.603,0.476,0.476
788,0.556,0.603,0.476
789,0.587,0.587,0.508
790,0.556,0.508,0.413
791,0.651,0.667,0.476
792,0.698,0.524,0.444
793,0.683,0.603,0.508
794,0.714,0.556,0.429
795,0.683,0.587,0.444
796,0.603,0.635,0.429
797,0.667,0.651,0.508
798,0.635,0.571,0.54
799,0.603,0.556,0.46
800,0.667,0.571,0.46
801,0.635,0.508,0.54
802,0.571,0.54,0.397
803,0.556,0.556,0.46
804,0.556,0.556,0.508
805,0.651,0.571,0.476
806,0.635,0.54,0.524
807,0.556,0.556,0.508
808,0.587,0.54,0.508
809,0.603,0.683,0.54
810,0.635,0.524,0.508
811,0.635,0.619,0.524
812,0.571,0.556,0.603
813,0.635,0.619,0.397
814,0.635,0.667,0.429
815,0.762,0.556,0.46
816,0.651,0.571,0.556
817,0.587,0.54,0.444
818,0.619,0.603,0.429
819,0.587,0.698,0.397
820,0.683,0.556,0.508
821,0.603,0.571,0.413
822,0.556,0.571,0.54
823,0.619,0.603,0.429
824,0.524,0.698,0.476
825,0.603,0.587,0.444
826,0.619,0.556,0.508
827,0.714,0.587,0.413
828,0.587,0.571,0.381
829,0.603,0.603,0.381
830,0.619,0.587,0.524
831,0.587,0.603,0.492
832,0.667,0.667,0.413
833,0.73,0.603,0.508
834,0.556,0.587,0.413
835,0.54,0.524,0.444
836,0.556,0.492,0.429
837,0.556,0.651,0.492
838,0.651,0.683,0.444
839,0.635,0.587,0.444
840,0.635,0.635,0.46
841,0.667,0.698,0.429
842,0.635,0.508,0.46
843,0.619,0.651,0.413
844,0.619,0.698,0.508
845,0.651,0.556,0.444
846,0.683,0.556,0.492
847,0.54,0.603,0.508
848,0.571,0.619,0.476
849,0.619,0.556,0.413
850,0.714,0.635,0.492
851,0.667,0.73,0.397
852,0.651,0.492,0.429
853,0.651,0.587,0.46
854,0.619,0.603,0.54
855,0.603,0.587,0.444
856,0.603,0.587,0.397
857,0.603,0.698,0.429
858,0.571,0.556,0.524
859,0.556,0.508,0.429
860,0.603,0.54,0.524
861,0.603,0.508,0.444
862,0.651,0.587,0.444
863,0.556,0.524,0.413
864,0.556,0.619,0.381
865,0.556,0.556,0.476
866,0.683,0.556,0.46
867,0.635,0.54,0.476
868,0.524,0.619,0.492
869,0.603,0.635,0.524
870,0.683,0.571,0.333
871,0.683,0.635,0.54
872,0.587,0.524,0.429
873,0.667,0.603,0.413
874,0.587,0.556,0.429
875,0.619,0.635,0.397
876,0.587,0.651,0.476
877,0.587,0.54,0.46
878,0.587,0.571,0.524
879,0.651,0.556,0.508
880,0.587,0.556,0.524
881,0.651,0.635,0.476
882,0.635,0.651,0.46
883,0.651,0.603,0.54
884,0.587,0.524,0.46
885,0.571,0.587,0.46
886,0.619,0.73,0.508
887,0.683,0.556,0.46
888,0.698,0.587,0.54
889,0.619,0.571,0.46
890,0.571,0.54,0.397
891,0.619,0.54,0.429
892,0.651,0.603,0.524
893,0.651,0.556,0.444
894,0.571,0.587,0.476
895,0.524,0.651,0.444
896,0.603,0.587,0.381
897,0.667,0.683,0.492
898,0.603,0.524,0.508
899,0.667,0.667,0.444
900,0.746,0.635,0.54
901,0.603,0.556,0.492
902,0.587,0.492,0.365
903,0.651,0.587,0.46
904,0.619,0.54,0.46
905,0.651,0.603,0.508
906,0.714,0.603,0.444
907,0.508,0.571,0.524
908,0.635,0.635,0.46
909,0.587,0.698,0.476
910,0.619,0.619,0.492
911,0.635,0.524,0.476
912,0.619,0.54,0.413
913,0.54,0.46,0.508
914,0.667,0.571,0.492
915,0.667,0.603,0.413
916,0.587,0.556,0.413
917,0.603,0.603,0.429
918,0.603,0.46,0.476
919,0.683,0.556,0.476
920,0.698,0.619,0.444
921,0.603,0.603,0.444
922,0.619,0.556,0.54
923,0.571,0.556,0.413
924,0.619,0.587,0.492
925,0.619,0.444,0.444
926,0.587,0.635,0.429
927,0.714,0.54,0.444
928,0.619,0.635,0.508
929,0.73,0.571,0.413
930,0.619,0.619,0.508
931,0.492,0.571,0.444
932,0.587,0.714,0.429
933,0.603,0.556,0.429
934,0.508,0.635,0.556
935,0.587,0.46,0.444
936,0.603,0.54,0.397
937,0.651,0.587,0.46
938,0.619,0.571,0.46
939,0.603,0.54,0.508
940,0.698,0.587,0.524
941,0.603,0.587,0.381
942,0.667,0.603,0.413
943,0.54,0.587,0.476
944,0.54,0.619,0.476
945,0.635,0.603,0.397
946,0.698,0.667,0.492
947,0.651,0.651,0.524
948,0.698,0.619,0.508
949,0.571,0.571,0.476
950,0.619,0.587,0.381
951,0.714,0.698,0.54
952,0.667,0.635,0.492
953,0.635,0.46,0.46
954,0.587,0.571,0.429
955,0.603,0.524,0.46
956,0.635,0.46,0.476
957,0.667,0.54,0.46
958,0.556,0.54,0.524
959,0.635,0.571,0.413
960,0.571,0.635,0.444
961,0.683,0.524,0.444
962,0.635,0.603,0.444
963,0.667,0.54,0.444
964,0.603,0.508,0.333
965,0.603,0.429,0.54
966,0.635,0.603,0.444
967,0.619,0.571,0.397
968,0.651,0.587,0.508
969,0.524,0.603,0.429
970,0.651,0.508,0.54
971,0.587,0.587,0.444
972,0.619,0.492,0.365
973,0.698,0.587,0.413
974,0.571,0.651,0.444
975,0.571,0.587,0.476
976,0.667,0.54,0.46
977,0.698,0.619,0.349
978,0.619,0.603,0.492
979,0.556,0.571,0.492
980,0.698,0.556,0.429
981,0.619,0.54,0.492
982,0.587,0.587,0.508
983,0.524,0.54,0.46
984,0.587,0.556,0.476
985,0.619,0.571,0.397
986,0.651,0.603,0.492
987,0.524,0.492,0.492
988,0.619,0.556,0.476
989,0.635,0.603,0.429
990,0.54,0.54,0.46
991,0.571,0.587,0.397
992,0.508,0.54,0.476
993,0.54,0.54,0.508
994,0.556,0.556,0.54
995,0.603,0.524,0.46
