,level,fly,bf
690,0.698,0.603,0.508
691,0.571,0.46,0.508
692,0.698,0.603,0.524
693,0.698,0.556,0.413
694,0.667,0.571,0.524
695,0.619,0.635,0.476
696,0.603,0.54,0.492
697,0.635,0.556,0.508
698,0.603,0.54,0.54
699,0.603,0.508,0.397
700,0.603,0.635,0.492
701,0.603,0.444,0.556
702,0.683,0.603,0.508
703,0.571,0.571,0.381
704,0.698,0.619,0.46
705,0.698,0.524,0.492
706,0.635,0.619,0.46
707,0.619,0.524,0.492
708,0.603,0.524,0.508
709,0.667,0.635,0.524
710,0.635,0.571,0.413
711,0.556,0.587,0.46
712,0.635,0.603,0.444
713,0.619,0.54,0.476
714,0.571,0.492,0.476
715,0.619,0.619,0.492
716,0.603,0.556,0.556
717,0.603,0.683,0.476
718,0.571,0.508,0.429
719,0.508,0.556,0.571
720,0.619,0.54,0.492
721,0.698,0.571,0.492
722,0.619,0.587,0.524
723,0.635,0.651,0.508
724,0.651,0.571,0.476
725,0.587,0.587,0.46
726,0.619,0.556,0.492
727,0.635,0.683,0.508
728,0.619,0.587,0.476
729,0.619,0.54,0.429
730,0.603,0.619,0.492
731,0.603,0.619,0.476
732,0.683,0.571,0.476
733,0.556,0.619,0.444
734,0.603,0.556,0.429
735,0.635,0.667,0.413
736,0.651,0.603,0.429
737,0.651,0.508,0.508
738,0.698,0.571,0.492
739,0.619,0.587,0.508
740,0.683,0.635,0.524
741,0.651,0.603,0.556
742,0.714,0.492,0.397
743,0.571,0.54,0.508
744,0.524,0.571,0.429
745,0.698,0.54,0.492
746,0.619,0.635,0.46
747,0.587,0.508,0.46
748,0.587,0.651,0.571
749,0.619,0.619,0.492
750,0.571,0.603,0.476
751,0.635,0.635,0.46
752,0.508,0.587,0.381
753,0.619,0.556,0.444
754,0.603,0.667,0.444
755,0.619,0.603,0.46
756,0.587,0.54,0.429
757,0.714,0.667,0.556
758,0.698,0.587,0.476
759,0.714,0.619,0.476
760,0.397,0.635,0.524
761,0.587,0.556,0.46
762,0.651,0.603,0.476
763,0.698,0.587,0.413
764,0.635,0.635,0.54
765,0.556,0.571,0.492
766,0.587,0.556,0.413
767,0.603,0.571,0.444
768,0.698,0.587,0.508
769,0.603,0.524,0.413
770,0.683,0.635,0.492
771,0.571,0.571,0.413
772,0.619,0.587,0.429
773,0.635,0.571,0.524
774,0.635,0.635,0.476
775,0.508,0.603,0.556
776,0.603,0.587,0.603
777,0.651,0.556,0.508
778,0.635,0.571,0.46
779,0.619,0.508,0.492
780,0.556,0.524,0.508
781,0.556,0.556,0.397
782,0.587,0.603,0.524
783,0.603,0.667,0.397
784,0.746,0.54,0.444
785,0.651,0.635,0.429
786,0.619,0.667,0.508
787,0.603,0.508,0.492
788,0.54,0.587,0.444
789,0.556,0.587,0.524
790,0.556,0.556,0.429
791,0.667,0.635,0.476
792,0.698,0.571,0.46
793,0.667,0.587,0.524
794,0.73,0.603,0.444
795,0.635,0.619,0.444
796,0.619,0.667,0.46
797,0.667,0.635,0.556
798,0.619,0.524,0.524
799,0.619,0.571,0.429
800,0.651,0.587,0.444
801,0.619,0.508,0.508
802,0.571,0.571,0.492
803,0.571,0.619,0.476
804,0.524,0.571,0.524
805,0.667,0.556,0.476
806,0.667,0.556,0.524
807,0.556,0.508,0.492
808,0.54,0.54,0.54
809,0.603,0.603,0.54
810,0.651,0.556,0.476
811,0.651,0.635,0.508
812,0.635,0.556,0.619
813,0.651,0.587,0.46
814,0.635,0.683,0.397
815,0.746,0.556,0.46
816,0.667,0.556,0.508
817,0.587,0.556,0.46
818,0.603,0.571,0.413
819,0.619,0.667,0.46
820,0.635,0.524,0.524
821,0.587,0.556,0.429
822,0.556,0.54,0.54
823,0.635,0.619,0.413
824,0.524,0.714,0.476
825,0.619,0.635,0.508
826,0.603,0.524,0.46
827,0.73,0.556,0.444
828,0.587,0.587,0.476
829,0.603,0.619,0.397
830,0.651,0.619,0.54
831,0.619,0.635,0.54
832,0.667,0.54,0.365
833,0.683,0.635,0.524
834,0.587,0.587,0.397
835,0.54,0.54,0.476
836,0.571,0.476,0.492
837,0.571,0.603,0.476
838,0.667,0.778,0.492
839,0.651,0.603,0.46
840,0.635,0.603,0.46
841,0.683,0.651,0.46
842,0.635,0.524,0.476
843,0.619,0.667,0.429
844,0.635,0.714,0.524
845,0.619,0.524,0.444
846,0.698,0.524,0.508
847,0.556,0.556,0.524
848,0.571,0.556,0.476
849,0.651,0.556,0.413
850,0.73,0.651,0.508
851,0.651,0.73,0.444
852,0.635,0.508,0.444
853,0.619,0.587,0.476
854,0.635,0.571,0.556
855,0.603,0.571,0.476
856,0.603,0.603,0.492
857,0.571,0.683,0.381
858,0.603,0.603,0.556
859,0.556,0.492,0.429
860,0.603,0.54,0.508
861,0.619,0.476,0.476
862,0.651,0.587,0.492
863,0.54,0.571,0.444
864,0.54,0.587,0.381
865,0.571,0.54,0.492
866,0.667,0.556,0.413
867,0.619,0.54,0.476
868,0.524,0.651,0.492
869,0.619,0.587,0.54
870,0.698,0.619,0.429
871,0.698,0.667,0.524
872,0.619,0.524,0.397
873,0.667,0.635,0.429
874,0.556,0.603,0.413
875,0.587,0.603,0.46
876,0.587,0.667,0.508
877,0.571,0.54,0.571
878,0.603,0.571,0.54
879,0.667,0.524,0.54
880,0.587,0.54,0.492
881,0.667,0.635,0.46
882,0.635,0.667,0.46
883,0.635,0.587,0.556
884,0.603,0.571,0.508
885,0.556,0.556,0.46
886,0.635,0.683,0.444
887,0.667,0.571,0.444
888,0.698,0.587,0.587
889,0.603,0.571,0.524
890,0.571,0.571,0.46
891,0.571,0.556,0.429
892,0.619,0.635,0.476
893,0.667,0.603,0.46
894,0.571,0.603,0.46
895,0.54,0.603,0.508
896,0.635,0.571,0.413
897,0.667,0.651,0.492
898,0.587,0.524,0.508
899,0.683,0.667,0.46
900,0.746,0.698,0.492
901,0.587,0.587,0.571
902,0.603,0.524,0.381
903,0.603,0.571,0.492
904,0.619,0.54,0.492
905,0.635,0.635,0.476
906,0.73,0.603,0.508
907,0.54,0.524,0.508
908,0.635,0.571,0.508
909,0.619,0.714,0.46
910,0.619,0.619,0.508
911,0.635,0.54,0.508
912,0.635,0.492,0.492
913,0.54,0.492,0.492
914,0.667,0.571,0.524
915,0.619,0.667,0.46
916,0.619,0.556,0.492
917,0.619,0.635,0.476
918,0.571,0.508,0.444
919,0.698,0.524,0.492
920,0.667,0.667,0.413
921,0.619,0.603,0.444
922,0.619,0.54,0.508
923,0.571,0.508,0.429
924,0.619,0.587,0.476
925,0.651,0.556,0.46
926,0.619,0.587,0.46
927,0.698,0.54,0.46
928,0.619,0.54,0.444
929,0.73,0.603,0.429
930,0.635,0.619,0.492
931,0.492,0.571,0.46
932,0.603,0.698,0.46
933,0.635,0.651,0.46
934,0.508,0.635,0.508
935,0.651,0.54,0.429
936,0.571,0.571,0.381
937,0.619,0.524,0.46
938,0.619,0.571,0.476
939,0.603,0.556,0.54
940,0.651,0.587,0.508
941,0.603,0.54,0.365
942,0.667,0.635,0.397
943,0.524,0.603,0.492
944,0.587,0.603,0.508
945,0.651,0.651,0.429
946,0.667,0.746,0.524
947,0.651,0.635,0.524
948,0.683,0.587,0.54
949,0.587,0.587,0.46
950,0.603,0.603,0.429
951,0.698,0.683,0.571
952,0.683,0.651,0.476
953,0.619,0.429,0.429
954,0.603,0.571,0.444
955,0.603,0.54,0.397
956,0.619,0.556,0.429
957,0.651,0.587,0.476
958,0.556,0.54,0.508
959,0.619,0.587,0.444
960,0.603,0.587,0.397
961,0.651,0.524,0.444
962,0.619,0.714,0.476
963,0.667,0.524,0.444
964,0.603,0.571,0.349
965,0.587,0.46,0.508
966,0.698,0.73,0.54
967,0.667,0.54,0.444
968,0.603,0.603,0.524
969,0.492,0.587,0.444
970,0.667,0.492,0.556
971,0.556,0.54,0.397
972,0.603,0.508,0.381
973,0.683,0.54,0.429
974,0.635,0.603,0.46
975,0.571,0.571,0.444
976,0.667,0.587,0.492
977,0.651,0.635,0.476
978,0.651,0.603,0.492
979,0.54,0.587,0.492
980,0.714,0.603,0.429
981,0.619,0.571,0.476
982,0.587,0.587,0.476
983,0.571,0.54,0.476
984,0.571,0.571,0.476
985,0.635,0.635,0.397
986,0.667,0.556,0.476
987,0.54,0.508,0.508
988,0.603,0.571,0.476
989,0.651,0.603,0.508
990,0.524,0.603,0.46
991,0.571,0.619,0.397
992,0.508,0.508,0.492
993,0.571,0.524,0.508
994,0.587,0.571,0.556
995,0.587,0.651,0.429
